name;Implementing.Jurisdictions;Affected.Jurisdictions;comtrade;gta.name;ISO;UN;gta.id;G20;N10;EU.G20;EU27;EU28;euro.area;LDC;BACI;sacu;mercosur;CU
Norfolk Island;Norfolk Island;Norfolk Island;Norfolk Island;Norfolk Island;na;574;152;0;0;0;0;0;0;0;574;0;0;0
Northern Mariana Islands;Northern Mariana Islands;Northern Mariana Islands;Northern Mariana Islands;Northern Mariana Islands;na;580;153;0;0;0;0;0;0;0;580;0;0;0
Norway;Norway;Norway;Norway;Norway;NOR;578;154;0;1;0;0;0;0;0;579;0;0;0
Oman;Oman;Oman;Oman;Oman;OMN;512;155;0;0;0;0;0;0;0;512;0;0;0
Pakistan;Pakistan;Pakistan;Pakistan;Pakistan;PAK;586;156;0;0;0;0;0;0;0;586;0;0;0
Palau;Palau;Palau;Palau;Palau;na;585;157;0;0;0;0;0;0;0;585;0;0;0
Panama;Panama;Panama;Panama;Panama;PAN;591;159;0;0;0;0;0;0;0;591;0;0;0
Papua New Guinea;Papua New Guinea;Papua New Guinea;Papua New Guinea;Papua New Guinea;PNG;598;160;0;0;0;0;0;0;0;598;0;0;0
Paraguay;Paraguay;Paraguay;Paraguay;Paraguay;PRY;600;161;0;0;0;0;0;0;0;600;0;1;0
Peru;Peru;Peru;Peru;Peru;PER;604;162;0;0;0;0;0;0;0;604;0;0;0
Philippines;Philippines;Philippines;Philippines;Philippines;PHL;608;163;0;0;0;0;0;0;0;608;0;0;0
Pitcairn;Pitcairn;Pitcairn;Pitcairn;Pitcairn;na;612;164;0;0;0;0;0;0;0;612;0;0;0
Poland;Poland;Poland;Poland;Poland;POL;616;165;0;0;0;1;1;0;0;616;0;0;0
Portugal;Portugal;Portugal;Portugal;Portugal;PRT;620;166;0;0;0;1;1;1;0;620;0;0;0
Puerto Rico;Puerto Rico;Puerto Rico;Puerto Rico;Puerto Rico;PRI;630;167;0;0;0;0;0;0;0;;0;0;0
Qatar;Qatar;Qatar;Qatar;Qatar;QAT;634;168;0;0;0;0;0;0;0;634;0;0;0
RÌ©union;RÌ©union;RÌ©union;RÌ©union;R√©union;na;638;171;0;0;0;0;0;0;0;;0;0;0
Republic of Korea;Republic of Korea;Republic of Korea;Rep. of Korea;Republic of Korea;KOR;410;54;1;0;0;0;0;0;0;410;0;0;0
Republic of Moldova;Republic of Moldova;Republic of Moldova;Rep. of Moldova ;Republic of Moldova;MDA;498;170;0;0;0;0;0;0;0;498;0;0;0
na;na;na;Rep. of Moldova;Republic of Moldova;MDA;498;170;0;0;0;0;0;0;0;498;0;0;0
Sudan;Sudan;Sudan;Sudan;Republic of the Sudan;SDN;729;198;0;0;0;0;0;0;1;736;0;0;0
na;na;na;Fmr Sudan;Republic of the Sudan;SDN;729;198;0;0;0;0;0;0;1;736;0;0;0
Romania;Romania;Romania;Romania;Romania;ROU;642;172;0;0;0;1;1;0;0;642;0;0;0
Russian Federation;Russian Federation;Russian Federation;Russian Federation;Russia;RUS;643;173;1;0;0;0;0;0;0;643;0;0;1
Rwanda;Rwanda;Rwanda;Rwanda;Rwanda;RWA;646;174;0;0;0;0;0;0;1;646;0;0;0
Saint Helena;Saint Helena;Saint Helena;Saint Helena;Saint Helena;na;654;175;0;0;0;0;0;0;0;654;0;0;0
Saint Kitts and Nevis;Saint Kitts and Nevis;Saint Kitts and Nevis;Saint Kitts and Nevis;Saint Kitts & Nevis;KNA;659;176;0;0;0;0;0;0;0;659;0;0;0
Saint Lucia;Saint Lucia;Saint Lucia;Saint Lucia;Saint Lucia;LCA;662;177;0;0;0;0;0;0;0;662;0;0;0
Saint Pierre and Miquelon;Saint Pierre and Miquelon;Saint Pierre and Miquelon;Saint Pierre and Miquelon;Saint Pierre & Miquelon;na;666;178;0;0;0;0;0;0;0;666;0;0;0
Saint Vincent and the Grenadines;Saint Vincent and the Grenadines;Saint Vincent and the Grenadines;Saint Vincent and the Grenadines;Saint Vincent & the Grenadines;VCT;670;179;0;0;0;0;0;0;0;670;0;0;0
Saint-Barth_lemy;Saint-Barth_lemy;Saint-Barth_lemy;Saint-Barth_lemy;Saint-Barth√©lemy;na;652;180;0;0;0;0;0;0;0;;0;0;0
Saint-Martin;Saint-Martin;Saint-Martin;Saint-Martin;Saint-Martin;na;663;181;0;0;0;0;0;0;0;;0;0;0
Samoa;Samoa;Samoa;Samoa;Samoa;WSM;882;182;0;0;0;0;0;0;1;882;0;0;0
San Marino;San Marino;San Marino;San Marino;San Marino;na;674;183;0;0;0;0;0;0;0;674;0;0;0
Sao Tome and Principe;Sao Tome and Principe;Sao Tome and Principe;Sao Tome and Principe;Sao Tome & Principe;STP;678;184;0;0;0;0;0;0;1;678;0;0;0
Saudi Arabia;Saudi Arabia;Saudi Arabia;Saudi Arabia;Saudi Arabia;SAU;682;185;1;0;0;0;0;0;0;682;0;0;0
Senegal;Senegal;Senegal;Senegal;Senegal;SEN;686;186;0;0;0;0;0;0;1;686;0;0;0
Serbia;Serbia;Serbia;Serbia;Serbia;SRB;688;187;0;0;0;0;0;0;0;;0;0;0
Seychelles;Seychelles;Seychelles;Seychelles;Seychelles;SYC;690;188;0;0;0;0;0;0;0;690;0;0;0
Sierra Leone;Sierra Leone;Sierra Leone;Sierra Leone;Sierra Leone;SLE;694;189;0;0;0;0;0;0;1;694;0;0;0
Singapore;Singapore;Singapore;Singapore;Singapore;SGP;702;190;0;1;0;0;0;0;0;702;0;0;0
Slovakia;Slovakia;Slovakia;Slovakia;Slovakia;SVK;703;191;0;0;0;1;1;1;0;703;0;0;0
Slovenia;Slovenia;Slovenia;Slovenia;Slovenia;SVN;705;192;0;0;0;1;1;1;0;705;0;0;0
Solomon Islands;Solomon Islands;Solomon Islands;Solomon Islands;Solomon Islands;SLB;90;193;0;0;0;0;0;0;1;90;0;0;0
na;na;na;Solomon Isds;Solomon Islands;SLB;90;193;0;0;0;0;0;0;1;90;0;0;0
Somalia;Somalia;Somalia;Somalia;Somalia;SOM;706;194;0;0;0;0;0;0;1;706;0;0;0
South Africa;South Africa;South Africa;South Africa;South Africa;ZAF;710;195;1;0;0;0;0;0;0;711;1;0;0
Spain;Spain;Spain;Spain;Spain;ESP;724;196;0;0;0;1;1;1;0;724;0;0;0
Sri Lanka;Sri Lanka;Sri Lanka;Sri Lanka;Sri Lanka;LKA;144;197;0;0;0;0;0;0;0;144;0;0;0
